category,paper_count,category_ratio
cs.AI,316,63.2
cs.LG,221,44.2
cs.CL,173,34.6
cs.CV,99,19.8
cs.SE,32,6.4
cs.CR,28,5.6
stat.ML,15,3.0
cs.CY,12,2.4
cs.IR,11,2.2
cs.SD,11,2.2
cs.RO,10,2.0
cs.MA,10,2.0
cs.HC,8,1.6
eess.AS,7,1.4
math.OC,6,1.2
eess.SP,5,1.0
cs.CE,5,1.0
cs.AR,5,1.0
cs.NE,4,0.8
cs.DB,4,0.8
stat.ME,4,0.8
cs.GT,3,0.6
eess.SY,3,0.6
math.ST,3,0.6
q-bio.BM,3,0.6
astro-ph.IM,2,0.4
cs.DC,2,0.4
cond-mat.mtrl-sci,2,0.4
q-bio.QM,2,0.4
q-bio.NC,2,0.4
physics.soc-ph,2,0.4
math.NA,2,0.4
eess.IV,2,0.4
math.PR,2,0.4
cs.PL,2,0.4
cs.NI,2,0.4
cs.SI,2,0.4
cs.ET,2,0.4
cs.LO,2,0.4
cs.PF,2,0.4
cs.SC,2,0.4
astro-ph.HE,1,0.2
cond-mat.dis-nn,1,0.2
cond-mat.stat-mech,1,0.2
cs.MM,1,0.2
cs.IT,1,0.2
cs.GL,1,0.2
cs.GR,1,0.2
cs.DS,1,0.2
cs.FL,1,0.2
econ.TH,1,0.2
gr-qc,1,0.2
hep-th,1,0.2
physics.med-ph,1,0.2
math.NT,1,0.2
math.RT,1,0.2
quant-ph,1,0.2
q-bio.CB,1,0.2
stat.CO,1,0.2
stat.AP,1,0.2
