source,target,edge_weight
agent,agents,49
existing,generation,41
available,code,41
generation,inference,38
existing,single,37
token,tokens,35
generation,reasoning,35
existing,reasoning,34
generation,quality,34
generation,retrieval,33
context,reasoning,33
baselines,existing,32
generation,single,31
accuracy,existing,31
address,existing,31
attention,transformer,30
multimodal,visual,30
accuracy,reasoning,30
image,visual,29
generation,remains,28
image,text,28
context,generation,28
accuracy,generation,27
inference,reasoning,27
code,generation,27
code,existing,26
existing,information,26
agentic,agents,26
policy,reinforcement,26
knowledge,reasoning,25
design,generation,25
accuracy,single,25
existing,inference,25
agent,agentic,25
existing,gap,25
evaluate,existing,25
generation,knowledge,25
reasoning,single,25
image,vision-language,25
evaluate,reasoning,24
generation,structured,24
existing,knowledge,24
reasoning,reinforcement,24
existing,strong,24
generation,text,24
accuracy,context,24
single,text,24
vision-language,visual,23
text,visual,23
existing,real-world,23
information,reasoning,23
multimodal,reasoning,23
context,existing,23
image,multimodal,23
context,inference,23
code,single,22
address,information,22
agents,existing,22
optimization,policy,22
semantic,visual,22
agent,information,22
agent,tool,22
agent,existing,22
existing,optimization,22
reasoning,understanding,22
agent,reasoning,22
reasoning,structured,22
context,evaluate,22
existing,remains,22
attention,token,22
context,use,22
accuracy,trained,22
accuracy,token,22
context,prior,22
existing,trained,21
inference,single,21
generation,human,21
architecture,transformer,21
agents,information,21
generation,pipeline,21
existing,multimodal,21
generation,semantic,21
agents,tool,21
gap,reasoning,21
reasoning,use,21
policy,reasoning,21
multimodal,vision-language,21
agent,single,21
existing,human,21
agents,reasoning,21
evidence,generation,21
existing,visual,21
existing,image,21
single,token,21
gap,generation,21
human,quality,21
accuracy,attention,21
generation,strong,21
accuracy,transformer,21
baselines,reasoning,20
inference,token,20
text,vision-language,20
baseline,single,20
reasoning,strong,20
gap,single,20
baselines,remains,20
classification,transformer,20
generation,image,20
existing,retrieval,20
reasoning,tool,20
available,existing,20
image,single,20
quality,single,20
generation,use,20
single,transformer,20
information,knowledge,20
multimodal,understanding,20
process,reasoning,20
evidence,reasoning,20
accuracy,inference,20
knowledge,retrieval,20
information,process,19
image,remains,19
single,structure,19
reasoning,remains,19
remains,text,19
reinforcement,reward,19
code,human,19
attention,context,19
existing,use,19
context,trained,19
efficient,transformer,19
agent,code,19
evidence,retrieval,19
existing,tokens,19
baseline,existing,19
agent,use,19
context,retrieval,19
code,remains,19
optimization,reinforcement,19
reasoning,visual,19
existing,semantic,19
agents,use,19
inference,knowledge,19
existing,text,19
accuracy,tokens,19
information,strong,19
multimodal,text,19
architecture,generation,18
existing,selection,18
context,single,18
context,token,18
baselines,optimization,18
gap,human,18
generation,process,18
existing,transformer,18
remains,vision-language,18
agents,single,18
knowledge,single,18
accuracy,text,18
evaluate,generation,18
cost,inference,18
context,evidence,18
generation,support,18
existing,mechanism,18
baseline,generation,18
existing,vision-language,18
baselines,context,18
context,text,18
generation,visual,18
existing,pipeline,18
single,visual,18
baselines,transformer,18
existing,understanding,18
efficient,inference,18
existing,process,18
trained,transformer,18
context,remains,18
knowledge,multimodal,18
agent,reinforcement,18
human,reasoning,18
remains,single,18
tool,use,18
inference,tokens,18
accuracy,baseline,18
baselines,generation,18
accuracy,code,18
agent,generation,18
existing,token,18
address,baselines,17
address,reasoning,17
address,single,17
agent,context,17
behavior,context,17
evidence,existing,17
accuracy,visual,17
generation,multimodal,17
knowledge,semantic,17
accuracy,classification,17
context,tokens,17
multimodal,single,17
inference,quality,17
address,reinforcement,17
knowledge,remains,17
inference,remains,17
agent,search,17
generation,token,17
generation,policy,17
attention,information,17
address,code,17
accuracy,architecture,17
information,text,17
context,information,17
code,evaluate,17
inference,information,17
evaluate,knowledge,17
baselines,information,17
representations,transformer,17
alignment,existing,17
context,multimodal,17
code,reasoning,17
efficient,existing,17
existing,quality,17
agentic,reasoning,17
baselines,single,17
structure,transformer,17
attention,tokens,17
existing,tool,17
accuracy,knowledge,17
existing,prompt,17
accuracy,vision-language,17
context,visual,17
reasoning,text,16
information,visual,16
evidence,single,16
quality,text,16
baseline,inference,16
cost,existing,16
inference,memory,16
single,trained,16
code,gap,16
baselines,knowledge,16
accuracy,standard,16
design,reasoning,16
policy,reward,16
pipeline,reasoning,16
knowledge,strong,16
policy,token,16
cost,generation,16
generation,real-world,16
baselines,evidence,16
generation,tokens,16
accuracy,cost,16
available,generation,16
efficient,optimization,16
baselines,standard,16
agents,code,16
information,remains,16
single,standard,16
design,existing,16
baselines,efficient,16
accuracy,failure,16
behavior,existing,16
existing,reinforcement,16
agents,reinforcement,16
address,generation,16
code,inference,16
baselines,reinforcement,16
diffusion,generation,16
accuracy,error,16
attention,existing,16
quality,remains,16
agentic,tool,16
single,tokens,16
knowledge,text,16
information,single,16
inference,process,16
understanding,visual,15
semantic,understanding,15
gap,pipeline,15
accuracy,information,15
accuracy,design,15
gap,information,15
context,knowledge,15
accuracy,image,15
code,information,15
code,text,15
code,multimodal,15
evaluate,use,15
baselines,structured,15
inference,transformer,15
existing,prior,15
accuracy,representations,15
baselines,strong,15
evaluate,information,15
accuracy,multimodal,15
efficient,tokens,15
agents,knowledge,15
agents,generation,15
reasoning,vision-language,15
efficient,image,15
process,quality,15
quality,retrieval,15
evaluate,human,15
efficient,generation,15
generation,reinforcement,15
gap,quality,15
prior,quality,15
reasoning,settings,15
accuracy,remains,15
accuracy,retrieval,15
accuracy,findings,15
agent,quality,15
behavior,single,15
accuracy,available,15
attention,mechanism,15
code,context,15
inference,optimization,15
evaluate,remains,15
generation,information,15
agents,failure,15
features,transformer,15
gap,real-world,15
information,reinforcement,15
agentic,generation,15
available,text,15
