topic_id,rank,term,weight
0,1,visual,63.746191
0,2,vlms,42.54059
0,3,vision-language,41.318878
0,4,generation,29.437233
0,5,image,27.902627
0,6,design,26.940996
0,7,multimodal,23.050898
0,8,reasoning,22.805134
0,9,semantic,22.708135
0,10,knowledge,21.572125
0,11,hallucination,19.183983
0,12,vision-language vlms,17.883415
1,1,detection,41.450177
1,2,code,34.948434
1,3,classification,25.674226
1,4,image,25.492008
1,5,accuracy,24.911445
1,6,agentic,24.556143
1,7,clinical,20.5451
1,8,deployment,19.797564
1,9,software,19.537811
1,10,features,18.656218
1,11,generation,17.637282
1,12,reliable,17.132512
2,1,teacher,53.573758
2,2,reasoning,42.427065
2,3,generation,40.16662
2,4,diffusion,39.226294
2,5,student,37.765264
2,6,accuracy,37.762336
2,7,distillation,37.621228
2,8,optimization,31.048425
2,9,speech,30.95466
2,10,structure,25.908203
2,11,information,25.139331
2,12,reinforcement,23.700615
3,1,agent,40.627337
3,2,attention,40.076457
3,3,agents,39.926516
3,4,information,38.036331
3,5,reasoning,31.69044
3,6,search,29.91331
3,7,sparse,27.415589
3,8,causal,24.707425
3,9,transformers,24.377253
3,10,optimization,22.115813
3,11,features,21.469685
3,12,token,20.528119
4,1,selection,21.791269
4,2,reward,20.892823
4,3,attention,17.125208
4,4,text,16.888957
4,5,quality,16.380279
4,6,information,16.09532
4,7,optimization,14.421318
4,8,detection,13.03566
4,9,prompt,12.986713
4,10,spectral,12.086379
4,11,agents,11.87539
4,12,human,11.432452
5,1,agents,48.210813
5,2,memory,44.939107
5,3,agent,36.951497
5,4,human,33.283203
5,5,control,31.757654
5,6,code,30.067775
5,7,visual,27.030212
5,8,token,25.288658
5,9,policy,21.722867
5,10,safety,21.001964
5,11,generation,20.703668
5,12,latent,18.877704
6,1,reasoning,108.730711
6,2,evidence,58.476368
6,3,generation,51.680422
6,4,retrieval,41.703896
6,5,inference,40.535908
6,6,graph,38.431684
6,7,context,37.509248
6,8,tool,35.317663
6,9,safety,33.985778
6,10,structured,33.866327
6,11,pipeline,30.089349
6,12,error,27.995317
7,1,attention,45.581709
7,2,policy,42.557391
7,3,tokens,39.407517
7,4,multimodal,37.290311
7,5,existing,31.961204
7,6,spatial,31.671854
7,7,alignment,31.626849
7,8,information,28.787
7,9,prediction,25.317263
7,10,transformer,25.176481
7,11,adaptive,22.693336
7,12,generation,22.42139
