canonical_arxiv_id,published_month,dominant_topic,topic_probability
2607.07708,2026-07,6,0.992876
2607.07707,2026-07,6,0.680266
2607.07706,2026-07,3,0.805448
2607.07702,2026-07,4,0.494226
2607.07696,2026-07,0,0.99305
2607.0768,2026-07,7,0.847151
2607.07678,2026-07,3,0.992639
2607.07673,2026-07,6,0.529801
2607.0767,2026-07,2,0.992875
2607.07669,2026-07,2,0.990045
2607.07646,2026-07,7,0.539618
2607.07626,2026-07,2,0.580468
2607.07573,2026-07,2,0.990777
2607.07557,2026-07,0,0.985868
2607.07548,2026-07,3,0.992697
2607.07527,2026-07,4,0.696636
2607.07521,2026-07,0,0.991658
2607.07508,2026-07,1,0.568806
2607.07507,2026-07,6,0.992035
2607.07494,2026-07,1,0.991326
2607.07478,2026-07,4,0.992448
2607.07474,2026-07,3,0.991887
2607.07469,2026-07,5,0.781119
2607.07468,2026-07,3,0.47896
2607.07467,2026-07,4,0.436553
2607.07408,2026-07,6,0.469664
2607.07401,2026-07,4,0.992991
2607.07395,2026-07,6,0.991238
2607.07388,2026-07,0,0.3977
2607.07386,2026-07,7,0.990373
2607.07382,2026-07,7,0.662861
2607.07379,2026-07,4,0.992818
2607.07375,2026-07,4,0.988314
2607.07357,2026-07,5,0.831835
2607.07321,2026-07,3,0.624657
2607.07316,2026-07,3,0.991153
2607.07289,2026-07,3,0.992246
2607.07277,2026-07,0,0.987997
2607.07267,2026-07,5,0.99218
2607.07251,2026-07,0,0.66173
2607.07219,2026-07,1,0.988914
2607.07189,2026-07,0,0.991888
2607.07184,2026-07,1,0.808456
2607.07179,2026-07,0,0.992385
2607.07178,2026-07,7,0.798264
2607.07128,2026-07,3,0.991578
2607.07117,2026-07,6,0.791457
2607.07103,2026-07,6,0.992109
2607.07097,2026-07,3,0.623735
2607.07066,2026-07,3,0.990781
2607.0705,2026-07,6,0.633315
2607.07047,2026-07,5,0.776595
2607.07033,2026-07,5,0.705397
2607.07027,2026-07,3,0.991575
2607.07026,2026-07,2,0.993261
2607.07021,2026-07,5,0.526038
2607.07003,2026-07,0,0.572137
2607.06999,2026-07,2,0.986306
2607.06993,2026-07,2,0.71591
2607.06987,2026-07,7,0.643102
2607.06974,2026-07,6,0.992639
2607.06964,2026-07,5,0.972851
2607.06963,2026-07,5,0.472335
2607.0694,2026-07,0,0.379853
2607.06924,2026-07,3,0.993263
2607.06919,2026-07,6,0.990871
2607.06918,2026-07,7,0.991577
2607.06882,2026-07,5,0.445475
2607.06879,2026-07,4,0.992761
2607.06875,2026-07,0,0.567741
2607.06855,2026-07,2,0.993609
2607.06854,2026-07,3,0.535249
2607.06845,2026-07,0,0.991493
2607.06839,2026-07,3,0.44593
2607.06831,2026-07,7,0.449624
2607.06824,2026-07,7,0.991238
2607.06818,2026-07,7,0.981744
2607.06802,2026-07,1,0.973685
2607.06796,2026-07,3,0.6972
2607.06772,2026-07,1,0.989568
2607.06764,2026-07,6,0.993101
2607.06763,2026-07,7,0.988004
2607.06757,2026-07,3,0.980954
2607.06748,2026-07,0,0.822933
2607.0672,2026-07,3,0.827729
2607.06713,2026-07,1,0.985869
2607.06546,2026-07,6,0.994197
2607.06544,2026-07,5,0.502679
2607.0654,2026-07,2,0.993511
2607.06653,2026-07,3,0.986092
2607.06527,2026-07,6,0.990679
2607.06523,2026-07,6,0.822277
2607.06522,2026-07,6,0.992035
2607.06507,2026-07,6,0.581729
2607.06503,2026-07,5,0.991963
2607.06485,2026-07,1,0.76361
2607.06482,2026-07,0,0.987834
2607.06481,2026-07,6,0.664246
2607.06649,2026-07,3,0.989693
2607.06461,2026-07,5,0.993651
2607.06452,2026-07,6,0.501459
2607.06445,2026-07,7,0.6432
2607.06413,2026-07,3,0.556374
2607.06402,2026-07,0,0.990969
2607.06364,2026-07,6,0.985396
2607.06641,2026-07,6,0.708097
2607.06639,2026-07,5,0.989814
2607.06341,2026-07,5,0.596087
2607.06326,2026-07,6,0.992699
2607.06309,2026-07,7,0.993156
2607.06636,2026-07,5,0.931161
2607.06306,2026-07,0,0.993156
2607.0629,2026-07,1,0.969778
2607.06289,2026-07,2,0.990974
2607.06269,2026-07,7,0.664857
2607.06254,2026-07,1,0.663088
2607.06631,2026-07,2,0.704523
2607.06229,2026-07,7,0.551695
2607.06224,2026-07,4,0.446475
2607.06223,2026-07,2,0.308678
2607.06196,2026-07,5,0.523626
2607.06629,2026-07,7,0.992447
2607.06175,2026-07,0,0.964055
2607.06626,2026-07,4,0.991151
2607.06163,2026-07,1,0.990264
2607.0616,2026-07,6,0.991577
2607.06157,2026-07,4,0.992032
2607.06145,2026-07,3,0.990967
2607.0614,2026-07,6,0.484827
2607.06623,2026-07,7,0.993363
2607.06127,2026-07,0,0.988767
2607.06105,2026-07,1,0.542137
2607.06097,2026-07,7,0.993103
2607.06055,2026-07,4,0.533825
2607.06054,2026-07,2,0.501998
2607.0662,2026-07,7,0.603899
2607.06037,2026-07,2,0.988913
2607.06009,2026-07,7,0.991736
2607.06008,2026-07,0,0.447954
2607.06001,2026-07,3,0.951531
2607.05992,2026-07,2,0.991577
2607.05985,2026-07,6,0.703419
2607.06614,2026-07,3,0.992818
2607.05978,2026-07,7,0.991657
2607.05969,2026-07,5,0.990266
2607.05964,2026-07,2,0.778928
2607.05956,2026-07,0,0.988623
2607.05955,2026-07,7,0.991964
2607.05937,2026-07,7,0.992107
2607.05936,2026-07,1,0.992576
2607.05933,2026-07,4,0.630994
2607.05908,2026-07,6,0.992818
2607.05904,2026-07,3,0.991733
2607.05902,2026-07,7,0.991884
2607.05901,2026-07,3,0.988905
2607.06611,2026-07,4,0.800221
2607.05891,2026-07,4,0.989692
2607.05888,2026-07,1,0.43085
2607.0588,2026-07,7,0.993046
2607.05872,2026-07,7,0.991889
2607.06609,2026-07,2,0.720394
2607.05863,2026-07,2,0.992989
2607.05861,2026-07,0,0.990968
2607.05842,2026-07,5,0.992933
2607.06605,2026-07,3,0.99346
2607.05798,2026-07,7,0.463395
2607.0579,2026-07,3,0.992446
2607.05775,2026-07,1,0.791741
2607.05773,2026-07,3,0.987992
2607.05769,2026-07,7,0.44004
2607.05761,2026-07,1,0.989048
2607.05752,2026-07,3,0.559145
2607.05722,2026-07,2,0.988316
2607.05721,2026-07,5,0.656713
2607.06601,2026-07,2,0.572589
2607.05704,2026-07,3,0.579469
2607.05694,2026-07,4,0.553885
2607.05691,2026-07,3,0.989446
2607.05689,2026-07,2,0.577464
2607.05685,2026-07,0,0.988475
2607.05679,2026-07,0,0.991889
2607.05669,2026-07,1,0.991412
2607.05666,2026-07,3,0.990474
2607.05644,2026-07,0,0.480304
2607.05638,2026-07,0,0.505731
2607.05626,2026-07,4,0.992108
2607.05615,2026-07,5,0.989318
2607.05614,2026-07,1,0.991323
2607.05612,2026-07,2,0.990375
2607.06595,2026-07,5,0.99245
2607.05583,2026-07,7,0.544357
2607.05573,2026-07,0,0.992514
2607.05571,2026-07,0,0.991657
2607.05568,2026-07,0,0.990776
2607.05554,2026-07,1,0.623713
2607.05552,2026-07,1,0.993156
2607.05541,2026-07,7,0.56555
2607.05518,2026-07,5,0.991577
2607.05396,2026-07,1,0.990677
2607.05394,2026-07,2,0.991964
2607.05365,2026-07,4,0.990266
2607.05355,2026-07,4,0.990476
2607.05353,2026-07,7,0.990043
2607.05317,2026-07,4,0.990374
2607.05316,2026-07,3,0.695887
2607.0531,2026-07,1,0.692495
2607.05292,2026-07,2,0.987109
2607.05282,2026-07,1,0.993157
2607.05268,2026-07,0,0.992878
2607.05483,2026-07,1,0.992444
2607.05259,2026-07,7,0.614557
2607.05217,2026-07,4,0.993511
2607.05199,2026-07,2,0.563806
2607.05196,2026-07,7,0.770768
2607.05188,2026-07,1,0.607166
2607.05184,2026-07,2,0.993875
2607.05174,2026-07,0,0.6112
2607.05479,2026-07,0,0.990375
2607.05153,2026-07,3,0.987999
2607.05147,2026-07,7,0.993262
2607.05132,2026-07,0,0.989445
2607.05123,2026-07,2,0.992636
2607.05114,2026-07,3,0.993459
2607.05104,2026-07,2,0.991962
2607.05069,2026-07,6,0.612291
2607.05055,2026-07,6,0.505576
2607.05032,2026-07,6,0.991413
2607.05031,2026-07,3,0.529304
2607.05029,2026-07,5,0.991325
2607.05009,2026-07,2,0.992819
2607.05001,2026-07,7,0.379863
2607.04983,2026-07,3,0.98847
2607.04969,2026-07,1,0.98766
2607.04963,2026-07,5,0.388795
2607.04962,2026-07,2,0.985402
2607.05477,2026-07,2,0.99087
2607.04941,2026-07,2,0.987119
2607.04926,2026-07,3,0.639781
2607.04907,2026-07,6,0.994042
2607.04906,2026-07,7,0.526476
2607.0489,2026-07,7,0.991409
2607.05475,2026-07,3,0.990371
2607.04862,2026-07,4,0.992759
2607.04854,2026-07,5,0.989314
2607.04846,2026-07,5,0.988907
2607.04832,2026-07,7,0.47408
2607.04819,2026-07,6,0.574746
2607.04774,2026-07,5,0.991961
2607.04751,2026-07,7,0.600924
2607.0475,2026-07,7,0.764412
2607.04733,2026-07,2,0.992819
2607.05467,2026-07,1,0.940908
2607.04728,2026-07,7,0.991658
2607.04727,2026-07,0,0.802434
2607.04714,2026-07,5,0.992758
2607.04713,2026-07,2,0.654069
2607.04708,2026-07,3,0.562572
2607.0469,2026-07,1,0.984901
2607.04688,2026-07,2,0.989692
2607.04686,2026-07,6,0.990681
2607.04683,2026-07,0,0.885159
2607.05465,2026-07,0,0.474554
2607.04655,2026-07,6,0.990263
2607.04645,2026-07,7,0.99331
2607.0464,2026-07,6,0.991734
2607.04625,2026-07,6,0.510137
2607.04619,2026-07,3,0.737571
2607.04595,2026-07,2,0.992449
2607.04593,2026-07,3,0.714918
2607.0459,2026-07,4,0.993363
2607.04579,2026-07,0,0.991327
2607.04572,2026-07,3,0.991492
2607.04566,2026-07,7,0.373369
2607.04563,2026-07,1,0.394779
2607.04562,2026-07,6,0.51815
2607.04558,2026-07,1,0.992383
2607.04537,2026-07,1,0.990373
2607.04535,2026-07,0,0.989438
2607.04534,2026-07,1,0.991325
2607.04531,2026-07,1,0.989568
2607.04525,2026-07,5,0.584151
2607.05458,2026-07,1,0.993099
2607.04523,2026-07,3,0.985403
2607.05456,2026-07,6,0.384794
2607.0451,2026-07,1,0.991734
2607.04505,2026-07,3,0.991736
2607.04486,2026-07,1,0.992511
2607.0447,2026-07,3,0.470084
2607.04469,2026-07,3,0.487333
2607.04443,2026-07,5,0.824022
2607.04439,2026-07,0,0.993157
2607.04436,2026-07,1,0.993744
2607.04433,2026-07,1,0.993258
2607.0443,2026-07,6,0.993364
2607.04429,2026-07,2,0.99004
2607.04428,2026-07,2,0.992639
2607.04423,2026-07,0,0.990157
2607.04422,2026-07,7,0.99383
2607.0441,2026-07,7,0.976934
2607.04394,2026-07,3,0.398528
2607.04391,2026-07,6,0.769992
2607.04383,2026-07,4,0.991656
2607.04364,2026-07,5,0.506709
2607.0435,2026-07,6,0.991491
2607.04344,2026-07,0,0.389643
2607.04333,2026-07,2,0.993103
2607.04332,2026-07,7,0.988317
2607.04329,2026-07,5,0.605524
2607.04319,2026-07,7,0.99276
2607.04302,2026-07,2,0.991495
2607.04293,2026-07,3,0.990967
2607.0429,2026-07,0,0.541311
2607.04281,2026-07,6,0.993262
2607.04277,2026-07,0,0.986523
2607.0427,2026-07,2,0.675082
2607.04262,2026-07,1,0.496661
2607.04242,2026-07,5,0.991655
2607.04241,2026-07,3,0.375582
2607.0424,2026-07,4,0.698335
2607.04235,2026-07,5,0.988317
2607.04223,2026-07,6,0.677733
2607.04222,2026-07,3,0.523423
2607.04219,2026-07,0,0.327056
2607.04206,2026-07,4,0.99321
2607.04179,2026-07,0,0.720349
2607.04171,2026-07,7,0.993509
2607.04167,2026-07,2,0.988
2607.04163,2026-07,0,0.572432
2607.04156,2026-07,3,0.579252
2607.04153,2026-07,7,0.602191
2607.04147,2026-07,3,0.742594
2607.0414,2026-07,2,0.595645
2607.04119,2026-07,0,0.6931
2607.04108,2026-07,3,0.806767
2607.04096,2026-07,6,0.990966
2607.04081,2026-07,6,0.990966
2607.04079,2026-07,0,0.913974
2607.04072,2026-07,1,0.489828
2607.04064,2026-07,5,0.53306
2607.04061,2026-07,5,0.98816
2607.04049,2026-07,1,0.989692
2607.04034,2026-07,0,0.989695
2607.04033,2026-07,1,0.457562
2607.04029,2026-07,0,0.586172
2607.04008,2026-07,6,0.990877
2607.03994,2026-07,3,0.754495
2607.03973,2026-07,7,0.958306
2607.03968,2026-07,5,0.991411
2607.03964,2026-07,5,0.51473
2607.03957,2026-07,6,0.593289
2607.03953,2026-07,6,0.993156
2607.03951,2026-07,7,0.565
2607.03948,2026-07,5,0.989443
2607.03936,2026-07,3,0.564649
2607.03929,2026-07,6,0.991238
2607.03904,2026-07,6,0.991886
2607.03903,2026-07,5,0.992934
2607.039,2026-07,4,0.990477
2607.03887,2026-07,1,0.987484
2607.03886,2026-07,5,0.992818
2607.03876,2026-07,7,0.993363
2607.03869,2026-07,7,0.99408
2607.03863,2026-07,6,0.725612
2607.03847,2026-07,6,0.992513
2607.03836,2026-07,6,0.725753
2607.03833,2026-07,0,0.992513
2607.03831,2026-07,2,0.991657
2607.03803,2026-07,2,0.992508
2607.03801,2026-07,7,0.494344
2607.03791,2026-07,7,0.986311
2607.03784,2026-07,2,0.989573
2607.03763,2026-07,7,0.99218
2607.03748,2026-07,2,0.653083
2607.03738,2026-07,7,0.992445
2607.03704,2026-07,2,0.99351
2607.03702,2026-07,6,0.991238
2607.03701,2026-07,3,0.99141
2607.03695,2026-07,5,0.838385
2607.03692,2026-07,5,0.990474
2607.03691,2026-07,3,0.911021
2607.03664,2026-07,2,0.514456
2607.03663,2026-07,5,0.993785
2607.0366,2026-07,3,0.991814
2607.03659,2026-07,6,0.990777
2607.03657,2026-07,3,0.986306
2607.03656,2026-07,7,0.418638
2607.03653,2026-07,1,0.987657
2607.03652,2026-07,3,0.992878
2607.03651,2026-07,2,0.387892
2607.0365,2026-07,0,0.722132
2607.03644,2026-07,6,0.988909
2607.0364,2026-07,1,0.987999
2607.03624,2026-07,2,0.732444
2607.03612,2026-07,3,0.638737
2607.03598,2026-07,2,0.993046
2607.03595,2026-07,7,0.641528
2607.03591,2026-07,7,0.991149
2607.03585,2026-07,1,0.38894
2607.03581,2026-07,1,0.770533
2607.0358,2026-07,2,0.991325
2607.05441,2026-07,4,0.990041
2607.0354,2026-07,1,0.988771
2607.03528,2026-07,5,0.597395
2607.03523,2026-07,5,0.990682
2607.03516,2026-07,5,0.994385
2607.0351,2026-07,5,0.990778
2607.03487,2026-07,2,0.990576
2607.03482,2026-07,6,0.990681
2607.03478,2026-07,6,0.99321
2607.03461,2026-07,0,0.493752
2607.03453,2026-07,6,0.41523
2607.03447,2026-07,6,0.540225
2607.03436,2026-07,4,0.992576
2607.03426,2026-07,3,0.988619
2607.05438,2026-07,6,0.767508
2607.03414,2026-07,7,0.988162
2607.03377,2026-07,2,0.990677
2607.03365,2026-07,1,0.496397
2607.03358,2026-07,3,0.706926
2607.0335,2026-07,1,0.591882
2607.03329,2026-07,4,0.993606
2607.03325,2026-07,2,0.527565
2607.03324,2026-07,4,0.527866
2607.05436,2026-07,1,0.994081
2607.03303,2026-07,0,0.803476
2607.03283,2026-07,3,0.633099
2607.03248,2026-07,6,0.987656
2607.03245,2026-07,7,0.991732
2607.03236,2026-07,3,0.992445
2607.03233,2026-07,0,0.993916
2607.03174,2026-07,1,0.993831
2607.03162,2026-07,3,0.506039
2607.0316,2026-07,4,0.990046
2607.03158,2026-07,3,0.991324
2607.03148,2026-07,3,0.703814
2607.03131,2026-07,1,0.993209
2607.03126,2026-07,7,0.990579
2607.03109,2026-07,6,0.569587
2607.03108,2026-07,1,0.992314
2607.03093,2026-07,3,0.988766
2607.03091,2026-07,5,0.440744
2607.03065,2026-07,0,0.522392
2607.03057,2026-07,5,0.659611
2607.0305,2026-07,5,0.991237
2607.03039,2026-07,6,0.990261
2607.03025,2026-07,5,0.989573
2607.03013,2026-07,1,0.993101
2607.03012,2026-07,3,0.994384
2607.03011,2026-07,1,0.991575
2607.03007,2026-07,6,0.990155
2607.03003,2026-07,5,0.983462
2607.02998,2026-07,2,0.441179
2607.02995,2026-07,0,0.986521
2607.02983,2026-07,6,0.570162
2607.0298,2026-07,7,0.992817
2607.02975,2026-07,3,0.681009
2607.02967,2026-07,3,0.933287
2607.02966,2026-07,6,0.588047
2607.02964,2026-07,2,0.988619
2607.02963,2026-07,7,0.993743
2607.02959,2026-07,6,0.992992
2607.02956,2026-07,5,0.556278
2607.02934,2026-07,1,0.994079
2607.02932,2026-07,3,0.992316
2607.02927,2026-07,6,0.575726
2607.02919,2026-07,0,0.681629
2607.02914,2026-07,6,0.99068
2607.02909,2026-07,4,0.990578
2607.02907,2026-07,5,0.993045
2607.02897,2026-07,7,0.992512
2607.02893,2026-07,5,0.993464
2607.02881,2026-07,7,0.620214
2607.02879,2026-07,6,0.989928
2607.02873,2026-07,6,0.992383
2607.02869,2026-07,2,0.994001
2607.02854,2026-07,0,0.988911
2607.02846,2026-07,1,0.990965
2607.02829,2026-07,7,0.956177
2607.02819,2026-07,5,0.984064
2607.02805,2026-07,5,0.992697
2607.028,2026-07,3,0.715991
2607.02781,2026-07,7,0.991965
2607.02771,2026-07,6,0.430238
2607.0277,2026-07,6,0.684734
2607.02757,2026-07,2,0.513468
2607.02755,2026-07,6,0.991964
2607.02734,2026-07,4,0.990967
2607.02718,2026-07,6,0.658723
2607.02715,2026-07,7,0.527977
2607.02686,2026-07,6,0.992757
2607.02668,2026-07,0,0.400642
2607.02512,2026-07,0,0.98672
2607.02509,2026-07,6,0.992035
2607.02502,2026-07,2,0.99245
2607.02494,2026-07,2,0.758349
2607.0249,2026-07,0,0.991324
2607.02464,2026-07,0,0.531686
2607.02461,2026-07,2,0.991239
2607.0246,2026-07,2,0.505331
2607.02459,2026-07,7,0.987116
