canonical_arxiv_id,published_month,primary_category,categories_text,rule_primary_paradigm,rule_secondary_paradigms,rule_confidence_proxy,rule_total_score,rule_score_json
2607.07708,2026-07,cs.CL,"cs.CL, cs.AI, cs.CE, cs.LG",Application,Benchmark/Evaluation | Theory/Methodology | Dataset/Benchmark,0.25,12,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 0, ""Multimodal"": 1, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 3, ""Application"": 3}"
2607.07707,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG",Dataset/Benchmark,Efficiency/Optimization | RAG/Retrieval,0.3333,3,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07706,2026-07,cs.LG,cs.LG,RAG/Retrieval,,1.0,1,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07702,2026-07,cs.CL,cs.CL,Agent/Tool Use,Efficiency/Optimization | Theory/Methodology,0.4,5,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 2, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07696,2026-07,cs.DB,"cs.DB, cs.AI",Application,Benchmark/Evaluation | Efficiency/Optimization | Alignment/Safety,0.25,8,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 2}"
2607.0768,2026-07,math.ST,"math.ST, cs.LG, math.PR",Application,Theory/Methodology,0.5,2,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 1}"
2607.07678,2026-07,cs.LG,cs.LG,Theory/Methodology,,1.0,3,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 3, ""Application"": 0}"
2607.07673,2026-07,cs.CV,"cs.CV, cs.LG",Multimodal,Benchmark/Evaluation | Dataset/Benchmark | Alignment/Safety,0.3571,14,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 5, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 3, ""Theory/Methodology"": 0, ""Application"": 1}"
2607.0767,2026-07,cs.CL,"cs.CL, cs.LG",Other,,0.0,0,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07669,2026-07,cs.CL,"cs.CL, cs.AI",Dataset/Benchmark,Alignment/Safety | Benchmark/Evaluation,0.4286,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 2, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 3, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07646,2026-07,cs.AI,"cs.AI, cs.CL",Efficiency/Optimization,Reasoning,0.5,2,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07626,2026-07,cs.CL,"cs.CL, cs.AI",Dataset/Benchmark,Efficiency/Optimization | Agent/Tool Use | RAG/Retrieval,0.3333,6,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 2, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07573,2026-07,cs.LG,"cs.LG, cs.CR",Benchmark/Evaluation,,1.0,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 4, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07557,2026-07,cs.CL,"cs.CL, cs.LG",Efficiency/Optimization,Theory/Methodology,0.75,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 3, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07548,2026-07,cs.CL,cs.CL,Agent/Tool Use,Benchmark/Evaluation | Efficiency/Optimization | RAG/Retrieval,0.375,8,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 3, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07527,2026-07,stat.ML,"stat.ML, cs.LG",Efficiency/Optimization,Alignment/Safety | Benchmark/Evaluation | Theory/Methodology,0.4,5,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07521,2026-07,cs.HC,"cs.HC, cs.AI",Multimodal,Agent/Tool Use | Alignment/Safety | Efficiency/Optimization,0.3333,6,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 2, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07508,2026-07,cs.LG,"cs.LG, cs.AI",Efficiency/Optimization,Benchmark/Evaluation | Reasoning | Theory/Methodology,0.4286,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 3, ""Multimodal"": 0, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.07507,2026-07,cs.CV,"cs.CV, cs.AI",Multimodal,Alignment/Safety | Theory/Methodology | Benchmark/Evaluation,0.4,10,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 2, ""Reasoning"": 1, ""Efficiency/Optimization"": 0, ""Multimodal"": 4, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 2, ""Application"": 0}"
2607.07494,2026-07,cs.DC,"cs.DC, cs.LG",Efficiency/Optimization,Application | Theory/Methodology,0.5,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 1}"
2607.07478,2026-07,cs.LG,"cs.LG, cs.CL, eess.SP",Benchmark/Evaluation,,1.0,1,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.07474,2026-07,cs.CR,"cs.CR, cs.AI, cs.CL",Agent/Tool Use,Benchmark/Evaluation | Alignment/Safety,0.375,8,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 3, ""Alignment/Safety"": 2, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
