canonical_arxiv_id,published_month,primary_category,model_size_label,model_size_billion,optimization_method
2607.07707,2026-07,cs.CL,360M,0.36,not_mentioned
2607.07706,2026-07,cs.LG,32B,32.0,not_mentioned
2607.07673,2026-07,cs.CV,1M,0.001,not_mentioned
2607.07673,2026-07,cs.CV,11M,0.011,not_mentioned
2607.0767,2026-07,cs.CL,5B,5.0,not_mentioned
2607.0767,2026-07,cs.CL,11B,11.0,not_mentioned
2607.0767,2026-07,cs.CL,7B,7.0,not_mentioned
2607.07626,2026-07,cs.CL,not_mentioned,,Distillation
2607.07557,2026-07,cs.CL,7B,7.0,Pruning
2607.07557,2026-07,cs.CL,7B,7.0,Sparsity
2607.07557,2026-07,cs.CL,8B,8.0,Pruning
2607.07557,2026-07,cs.CL,8B,8.0,Sparsity
2607.07548,2026-07,cs.CL,7B,7.0,Distillation
2607.07508,2026-07,cs.LG,750B,750.0,not_mentioned
2607.07494,2026-07,cs.DC,300M,0.3,Quantization
2607.07494,2026-07,cs.DC,600M,0.6,Quantization
2607.07468,2026-07,stat.ML,not_mentioned,,Sparsity
2607.07388,2026-07,cs.CL,6B,6.0,LoRA
2607.07386,2026-07,cs.LG,not_mentioned,,Sparsity
2607.07382,2026-07,cs.LG,2B,2.0,not_mentioned
2607.07382,2026-07,cs.LG,4B,4.0,not_mentioned
2607.07357,2026-07,cs.RO,not_mentioned,,Distillation
2607.07321,2026-07,cs.AI,not_mentioned,,Pruning
2607.07316,2026-07,cs.LG,not_mentioned,,Sparsity
2607.07267,2026-07,cs.CY,6B,6.0,not_mentioned
2607.07128,2026-07,cs.LG,not_mentioned,,Sparsity
2607.0705,2026-07,cs.CL,not_mentioned,,Distillation
2607.07033,2026-07,cs.CV,7B,7.0,Pruning
2607.07026,2026-07,cs.LG,7B,7.0,not_mentioned
2607.07026,2026-07,cs.LG,8B,8.0,not_mentioned
2607.06987,2026-07,cs.LG,not_mentioned,,Sparsity
2607.06918,2026-07,cs.CV,not_mentioned,,LoRA
2607.06918,2026-07,cs.CV,not_mentioned,,PEFT
2607.06882,2026-07,cs.RO,42M,0.042,LoRA
2607.06855,2026-07,cs.LG,7B,7.0,Distillation
2607.06855,2026-07,cs.LG,32B,32.0,Distillation
2607.06845,2026-07,cs.CL,30M,0.03,not_mentioned
2607.06845,2026-07,cs.CL,14B,14.0,not_mentioned
2607.06845,2026-07,cs.CL,70B,70.0,not_mentioned
2607.06824,2026-07,cs.RO,not_mentioned,,PEFT
2607.06796,2026-07,cs.LG,not_mentioned,,Distillation
2607.06772,2026-07,cs.LG,124M,0.124,not_mentioned
2607.06772,2026-07,cs.LG,350M,0.35,not_mentioned
2607.06763,2026-07,cs.LG,not_mentioned,,PEFT
2607.06763,2026-07,cs.LG,not_mentioned,,Speculative Decoding
2607.06748,2026-07,cs.SE,20B,20.0,not_mentioned
2607.06748,2026-07,cs.SE,120B,120.0,not_mentioned
2607.06748,2026-07,cs.SE,8B,8.0,not_mentioned
2607.06748,2026-07,cs.SE,70B,70.0,not_mentioned
2607.06527,2026-07,cs.CL,not_mentioned,,Sparsity
2607.06523,2026-07,cs.AI,not_mentioned,,Quantization
2607.06523,2026-07,cs.AI,not_mentioned,,KV Cache Optimization
2607.06507,2026-07,cs.CL,7B,7.0,not_mentioned
2607.06503,2026-07,cs.AI,7B,7.0,not_mentioned
2607.06503,2026-07,cs.AI,3B,3.0,not_mentioned
2607.06481,2026-07,cs.CV,not_mentioned,,Sparsity
2607.06481,2026-07,cs.CV,not_mentioned,,PEFT
2607.06452,2026-07,cs.CL,14B,14.0,not_mentioned
2607.06452,2026-07,cs.CL,13B,13.0,not_mentioned
2607.06641,2026-07,cs.CL,not_mentioned,,Sparsity
2607.06326,2026-07,cs.AI,4B,4.0,not_mentioned
2607.06326,2026-07,cs.AI,8B,8.0,not_mentioned
2607.06631,2026-07,cs.CV,14B,14.0,Distillation
2607.06631,2026-07,cs.CV,14B,14.0,Sparsity
2607.06224,2026-07,cs.LG,9M,0.009,not_mentioned
2607.06175,2026-07,cs.CL,8B,8.0,not_mentioned
2607.06175,2026-07,cs.CL,14B,14.0,not_mentioned
2607.0616,2026-07,cs.CL,7B,7.0,not_mentioned
2607.0616,2026-07,cs.CL,8B,8.0,not_mentioned
2607.0614,2026-07,cs.CL,not_mentioned,,Pruning
2607.06127,2026-07,cs.CL,12B,12.0,not_mentioned
2607.06097,2026-07,cs.CV,not_mentioned,,Distillation
2607.0662,2026-07,cs.CV,not_mentioned,,Sparsity
2607.06009,2026-07,cs.CR,not_mentioned,,Quantization
2607.05978,2026-07,cs.CV,8B,8.0,not_mentioned
2607.05955,2026-07,cs.CV,not_mentioned,,Sparsity
2607.05937,2026-07,cs.CL,6B,6.0,PEFT
2607.05937,2026-07,cs.CL,4B,4.0,PEFT
2607.05937,2026-07,cs.CL,8B,8.0,PEFT
2607.05902,2026-07,cs.SD,not_mentioned,,Quantization
2607.06611,2026-07,cs.CL,not_mentioned,,Distillation
2607.05891,2026-07,cs.CV,not_mentioned,,Distillation
2607.0588,2026-07,cs.CV,6M,0.006,not_mentioned
2607.0588,2026-07,cs.CV,2B,2.0,not_mentioned
2607.05872,2026-07,cs.LG,160M,0.16,not_mentioned
2607.05872,2026-07,cs.LG,70M,0.07,not_mentioned
2607.05872,2026-07,cs.LG,9B,9.0,not_mentioned
2607.05872,2026-07,cs.LG,1B,1.0,not_mentioned
2607.05752,2026-07,cs.CL,4B,4.0,not_mentioned
2607.05722,2026-07,cs.CL,3B,3.0,not_mentioned
2607.05722,2026-07,cs.CL,8B,8.0,not_mentioned
2607.05722,2026-07,cs.CL,14B,14.0,not_mentioned
2607.05721,2026-07,cs.CL,not_mentioned,,Distillation
2607.06601,2026-07,cs.LG,160M,0.16,Quantization
2607.06601,2026-07,cs.LG,160M,0.16,Sparsity
2607.06601,2026-07,cs.LG,3B,3.0,Quantization
2607.06601,2026-07,cs.LG,3B,3.0,Sparsity
2607.05704,2026-07,cs.LG,7B,7.0,not_mentioned
2607.05679,2026-07,cs.CL,7B,7.0,not_mentioned
2607.05615,2026-07,cs.LG,not_mentioned,,Sparsity
2607.05583,2026-07,cs.CL,6M,0.006,not_mentioned
2607.05573,2026-07,cs.AI,72B,72.0,not_mentioned
2607.05573,2026-07,cs.AI,235B,235.0,not_mentioned
2607.05573,2026-07,cs.AI,70B,70.0,not_mentioned
2607.05573,2026-07,cs.AI,27B,27.0,not_mentioned
2607.05571,2026-07,cs.AI,4B,4.0,not_mentioned
2607.05571,2026-07,cs.AI,120B,120.0,not_mentioned
2607.05541,2026-07,cs.LG,4B,4.0,Distillation
2607.05541,2026-07,cs.LG,4B,4.0,Sparsity
2607.05541,2026-07,cs.LG,7B,7.0,Distillation
2607.05541,2026-07,cs.LG,7B,7.0,Sparsity
2607.05394,2026-07,cs.LG,7B,7.0,Distillation
2607.05394,2026-07,cs.LG,7B,7.0,Sparsity
2607.05355,2026-07,cs.CL,not_mentioned,,Pruning
2607.05316,2026-07,cs.CL,8B,8.0,not_mentioned
2607.05292,2026-07,cs.LG,not_mentioned,,Sparsity
2607.05268,2026-07,cs.CV,not_mentioned,,Distillation
2607.05196,2026-07,cs.CL,30B,30.0,Quantization
2607.05196,2026-07,cs.CL,30B,30.0,Distillation
2607.05196,2026-07,cs.CL,30B,30.0,Sparsity
2607.05196,2026-07,cs.CL,4B,4.0,Quantization
2607.05196,2026-07,cs.CL,4B,4.0,Distillation
2607.05196,2026-07,cs.CL,4B,4.0,Sparsity
2607.05196,2026-07,cs.CL,5B,5.0,Quantization
2607.05196,2026-07,cs.CL,5B,5.0,Distillation
2607.05196,2026-07,cs.CL,5B,5.0,Sparsity
2607.05184,2026-07,cs.AI,not_mentioned,,Distillation
2607.05147,2026-07,cs.AI,not_mentioned,,Speculative Decoding
2607.05114,2026-07,cs.LG,not_mentioned,,LoRA
2607.05114,2026-07,cs.LG,not_mentioned,,Sparsity
2607.05114,2026-07,cs.LG,not_mentioned,,PEFT
2607.05031,2026-07,cs.SE,not_mentioned,,Sparsity
2607.05001,2026-07,cs.CR,3B,3.0,not_mentioned
2607.05001,2026-07,cs.CR,8B,8.0,not_mentioned
2607.04983,2026-07,cs.NE,32B,32.0,not_mentioned
2607.04963,2026-07,cs.AI,not_mentioned,,Sparsity
2607.0489,2026-07,cs.CL,3B,3.0,not_mentioned
2607.05475,2026-07,cs.AR,not_mentioned,,Quantization
2607.04819,2026-07,cs.LG,5B,5.0,not_mentioned
2607.04751,2026-07,cs.LG,not_mentioned,,Distillation
2607.04728,2026-07,cs.CL,not_mentioned,,Sparsity
2607.04713,2026-07,cs.LG,not_mentioned,,Sparsity
2607.04686,2026-07,cs.CL,70B,70.0,not_mentioned
2607.04686,2026-07,cs.CL,72B,72.0,not_mentioned
2607.04655,2026-07,cs.CL,8B,8.0,not_mentioned
2607.0464,2026-07,cs.CL,5B,5.0,LoRA
2607.0464,2026-07,cs.CL,5B,5.0,Quantization
2607.0464,2026-07,cs.CL,5B,5.0,Pruning
2607.0464,2026-07,cs.CL,32B,32.0,LoRA
2607.0464,2026-07,cs.CL,32B,32.0,Quantization
