month,concept_name,concept_type,paper_count,rank_in_month
2026-07,large language models,model,13,1
2026-07,large language model,model,10,2
2026-07,transformer,model,8,3
2026-07,retrieval-augmented generation,method,7,4
2026-07,reinforcement learning,method,6,5
2026-07,fine-tuning,method,5,6
2026-07,multimodal,task,5,7
2026-07,vision-language model,model,5,8
2026-07,hallucination,risk,4,9
2026-07,benchmark,other,3,10
2026-07,domain adaptation,method,3,11
2026-07,hidden states,model,3,12
2026-07,knowledge distillation,method,3,13
2026-07,language model,model,3,14
2026-07,llm,model,3,15
2026-07,macro-f1,metric,3,16
2026-07,self-distillation,method,3,17
2026-07,transformer-based model,model,3,18
2026-07,vision-language models,model,3,19
2026-07,accuracy,metric,2,20
2026-07,alignment,other,2,21
2026-07,benchmark,metric,2,22
2026-07,code generation,task,2,23
2026-07,diffusion model,model,2,24
2026-07,distillation,method,2,25
2026-07,evaluation,other,2,26
2026-07,f1 score,metric,2,27
2026-07,factual consistency,metric,2,28
2026-07,foundation models,model,2,29
2026-07,language models,model,2,30
